N,time,std
7,0.0010525643965714022,6.672290036612871e-06
14,0.0022299873428572223,1.895037197196896e-05
28,0.007413861002857272,0.0002676057252625851
56,0.030915280971428923,0.0002459976431684819
84,0.07595092738571176,0.0005335285098620624
112,0.2257419145571378,0.006906149459736756
